code,hex,lab_l,lab_a,lab_b
"PANTONE 100 C",#FFE966,92,-8,65
"PANTONE 101 C",#FFEA4F,92,-9,74
"PANTONE 10101 C",#D4D4D4,85,0,0
"PANTONE 10102 C",#C2C8C6,80,-2,0
"PANTONE 10103 C",#B9BCBB,76,-1,0
"PANTONE 10104 C",#ADB1B4,72,-1,-2
"PANTONE 10105 C",#ABAEB0,71,-1,-1
"PANTONE 10106 C",#B0AA77,69,-6,27
"PANTONE 10107 C",#B1AB64,69,-8,37
"PANTONE 10108 C",#B5AB53,69,-8,46
"PANTONE 10109 C",#B7AA41,69,-8,54
"PANTONE 10110 C",#BDA92A,69,-6,63
"PANTONE 10111 C",#C8B112,72,-6,72
"PANTONE 10112 C",#ACAA8A,69,-5,17
"PANTONE 10113 C",#AEA76F,68,-6,30
"PANTONE 10114 C",#B1A85E,68,-7,39
"PANTONE 10115 C",#B7A64E,68,-5,47
"PANTONE 10116 C",#BCA53A,68,-4,56
"PANTONE 10117 C",#C1A425,68,-2,64
"PANTONE 10118 C",#B0A36F,67,-3,29
"PANTONE 10119 C",#B8A25E,67,-1,38
"PANTONE 10120 C",#BB9D4C,66,1,46
"PANTONE 10121 C",#BD9938,65,3,54
"PANTONE 10122 C",#C69626,65,8,61
"PANTONE 10123 C",#CD930B,65,12,68
"PANTONE 10124 C",#B0A378,67,-2,24
"PANTONE 10125 C",#AE9D64,65,-2,32
"PANTONE 10126 C",#AE9652,63,0,39
"PANTONE 10127 C",#B29246,62,3,44
"PANTONE 10128 C",#B88C35,61,8,51
"PANTONE 10129 C",#BF852A,60,14,55
"PANTONE 10130 C",#B28F71,62,9,21
"PANTONE 10131 C",#B3855D,59,13,28
"PANTONE 10132 C",#B47D4E,57,16,34
"PANTONE 10133 C",#AE713B,53,19,39
"PANTONE 10134 C",#AD6931,51,22,42
"PANTONE 10135 C",#A96021,48,25,46
"PANTONE 10136 C",#AE9B89,65,4,12
"PANTONE 10137 C",#B18F75,62,9,19
"PANTONE 10138 C",#AF8260,58,13,25
"PANTONE 10139 C",#AC794E,55,15,31
"PANTONE 10140 C",#AD7143,53,19,35
"PANTONE 10141 C",#A56534,49,21,38
"PANTONE 10142 C",#B88D6C,62,12,24
"PANTONE 10143 C",#BD845B,60,17,31
"PANTONE 10144 C",#C27B49,58,23,38
"PANTONE 10145 C",#C7743A,57,28,45
"PANTONE 10146 C",#C96A29,55,33,51
"PANTONE 10147 C",#CD6318,54,38,57
"PANTONE 10148 C",#BA877B,61,18,14
"PANTONE 10149 C",#BD7B6B,58,24,19
"PANTONE 10150 C",#C06D58,55,31,26
"PANTONE 10151 C",#C26448,53,35,33
"PANTONE 10152 C",#C85B39,52,41,40
"PANTONE 10153 C",#CC532C,51,46,46
"PANTONE 10154 C",#AE9691,64,8,6
"PANTONE 10155 C",#B2877C,60,15,12
"PANTONE 10156 C",#B3776D,56,22,15
"PANTONE 10157 C",#B0695B,52,27,20
"PANTONE 10158 C",#B15C4E,49,33,24
