order_code,bom_category,issue_pool,allocated_qty,uom
BS-SI-16103,Paint Epoxy Primer,Epoxy Set,418.38,Gram
BS-SI-16103,Epoxy Thinner,Epoxy Set,88.39,Gram
BS-SI-16103,Epoxy Hardner,Epoxy Set,82.5,Gram
BS-SI-16103,Paint Mixing,Paint Mixing,134.47,Gram
BS-SI-16103,Paint Matt agent(Matt),Paint Matt Agent,67.24,Gram
BS-SI-16103,Paint Harnder,Paint Harnder,67.24,Gram
BS-SI-16103,Paint Thinner,Paint Thinner,54.43,Gram
BS-SI-16103,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16188,Paint Epoxy Primer,Epoxy Set,940.06,Gram
BS-ET-16188,Epoxy Thinner,Epoxy Set,198.6,Gram
BS-ET-16188,Epoxy Hardner,Epoxy Set,185.36,Gram
BS-ET-16188,Paint Mixing,Paint Mixing,302.15,Gram
BS-ET-16188,Paint Matt agent(Matt),Paint Matt Agent,151.07,Gram
BS-ET-16188,Paint Harnder,Paint Harnder,151.07,Gram
BS-ET-16188,Paint Thinner,Paint Thinner,122.3,Gram
BS-ET-16188,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-2501 B,Paint Epoxy Primer,Epoxy Set,2444.91,Gram
BS-US-2501 B,Epoxy Thinner,Epoxy Set,516.53,Gram
BS-US-2501 B,Epoxy Hardner,Epoxy Set,482.1,Gram
BS-US-2501 B,Paint Mixing,Paint Mixing,841.96,Gram
BS-US-2501 B,Paint Matt agent(Matt),Paint Matt Agent,261.94,Gram
BS-US-2501 B,Paint Harnder,Paint Harnder,430.34,Gram
BS-US-2501 B,Paint Thinner,Paint Thinner,168.39,Gram
BS-US-2501 B,Paint Binder(Gloss),Paint Binder,168.39,Gram
BS-US-2501 A,Paint Epoxy Primer,Epoxy Set,1948.72,Gram
BS-US-2501 A,Epoxy Thinner,Epoxy Set,411.7,Gram
BS-US-2501 A,Epoxy Hardner,Epoxy Set,384.26,Gram
BS-US-2501 A,Paint Mixing,Paint Mixing,671.09,Gram
BS-US-2501 A,Paint Matt agent(Matt),Paint Matt Agent,208.78,Gram
BS-US-2501 A,Paint Harnder,Paint Harnder,343,Gram
BS-US-2501 A,Paint Thinner,Paint Thinner,134.22,Gram
BS-US-2501 A,Paint Binder(Gloss),Paint Binder,134.22,Gram
BS-ET-15735,Paint Epoxy Primer,Epoxy Set,2425.36,Gram
BS-ET-15735,Epoxy Thinner,Epoxy Set,512.4,Gram
BS-ET-15735,Epoxy Hardner,Epoxy Set,478.24,Gram
BS-ET-15735,Paint Mixing,Paint Mixing,779.55,Gram
BS-ET-15735,Paint Matt agent(Matt),Paint Matt Agent,389.77,Gram
BS-ET-15735,Paint Harnder,Paint Harnder,389.77,Gram
BS-ET-15735,Paint Thinner,Paint Thinner,315.53,Gram
BS-ET-15735,Paint Binder(Gloss),Paint Binder,0,Gram
BS-S.inc-16226,Paint Epoxy Primer,Epoxy Set,703.82,Gram
BS-S.inc-16226,Epoxy Thinner,Epoxy Set,148.69,Gram
BS-S.inc-16226,Epoxy Hardner,Epoxy Set,138.78,Gram
BS-S.inc-16226,Paint Mixing,Paint Mixing,226.22,Gram
BS-S.inc-16226,Paint Matt agent(Matt),Paint Matt Agent,113.11,Gram
BS-S.inc-16226,Paint Harnder,Paint Harnder,113.11,Gram
BS-S.inc-16226,Paint Thinner,Paint Thinner,91.56,Gram
BS-S.inc-16226,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-2505 A,Paint Epoxy Primer,Epoxy Set,3149.76,Gram
BS-US-2505 A,Epoxy Thinner,Epoxy Set,665.44,Gram
BS-US-2505 A,Epoxy Hardner,Epoxy Set,621.08,Gram
BS-US-2505 A,Paint Mixing,Paint Mixing,1012.38,Gram
BS-US-2505 A,Paint Matt agent(Matt),Paint Matt Agent,506.19,Gram
BS-US-2505 A,Paint Harnder,Paint Harnder,506.19,Gram
BS-US-2505 A,Paint Thinner,Paint Thinner,409.77,Gram
BS-US-2505 A,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-2493,Paint Epoxy Primer,Epoxy Set,151.41,Gram
BS-US-2493,Epoxy Thinner,Epoxy Set,31.99,Gram
BS-US-2493,Epoxy Hardner,Epoxy Set,29.85,Gram
BS-US-2493,Paint Mixing,Paint Mixing,52.14,Gram
BS-US-2493,Paint Matt agent(Matt),Paint Matt Agent,16.22,Gram
BS-US-2493,Paint Harnder,Paint Harnder,26.65,Gram
BS-US-2493,Paint Thinner,Paint Thinner,10.43,Gram
BS-US-2493,Paint Binder(Gloss),Paint Binder,10.43,Gram
BS-ET-16171,Paint Epoxy Primer,Epoxy Set,909.01,Gram
BS-ET-16171,Epoxy Thinner,Epoxy Set,192.04,Gram
BS-ET-16171,Epoxy Hardner,Epoxy Set,179.24,Gram
BS-ET-16171,Paint Mixing,Paint Mixing,292.17,Gram
BS-ET-16171,Paint Matt agent(Matt),Paint Matt Agent,146.08,Gram
BS-ET-16171,Paint Harnder,Paint Harnder,146.08,Gram
BS-ET-16171,Paint Thinner,Paint Thinner,118.26,Gram
BS-ET-16171,Paint Binder(Gloss),Paint Binder,0,Gram
BS-GL-0017,Paint Epoxy Primer,Epoxy Set,1332.94,Gram
BS-GL-0017,Epoxy Thinner,Epoxy Set,281.61,Gram
BS-GL-0017,Epoxy Hardner,Epoxy Set,262.83,Gram
BS-GL-0017,Paint Mixing,Paint Mixing,428.43,Gram
BS-GL-0017,Paint Matt agent(Matt),Paint Matt Agent,214.21,Gram
BS-GL-0017,Paint Harnder,Paint Harnder,214.21,Gram
BS-GL-0017,Paint Thinner,Paint Thinner,173.41,Gram
BS-GL-0017,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16211,Paint Epoxy Primer,Epoxy Set,378.39,Gram
BS-ET-16211,Epoxy Thinner,Epoxy Set,79.94,Gram
BS-ET-16211,Epoxy Hardner,Epoxy Set,74.61,Gram
BS-ET-16211,Paint Mixing,Paint Mixing,121.62,Gram
BS-ET-16211,Paint Matt agent(Matt),Paint Matt Agent,60.81,Gram
BS-ET-16211,Paint Harnder,Paint Harnder,60.81,Gram
BS-ET-16211,Paint Thinner,Paint Thinner,49.23,Gram
BS-ET-16211,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16169,Paint Epoxy Primer,Epoxy Set,126.49,Gram
BS-ET-16169,Epoxy Thinner,Epoxy Set,26.72,Gram
BS-ET-16169,Epoxy Hardner,Epoxy Set,24.94,Gram
BS-ET-16169,Paint Mixing,Paint Mixing,40.66,Gram
BS-ET-16169,Paint Matt agent(Matt),Paint Matt Agent,20.33,Gram
BS-ET-16169,Paint Harnder,Paint Harnder,20.33,Gram
BS-ET-16169,Paint Thinner,Paint Thinner,16.46,Gram
BS-ET-16169,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-2489 A,Paint Epoxy Primer,Epoxy Set,136.46,Gram
BS-US-2489 A,Epoxy Thinner,Epoxy Set,28.83,Gram
BS-US-2489 A,Epoxy Hardner,Epoxy Set,26.91,Gram
BS-US-2489 A,Paint Mixing,Paint Mixing,46.99,Gram
BS-US-2489 A,Paint Matt agent(Matt),Paint Matt Agent,14.62,Gram
BS-US-2489 A,Paint Harnder,Paint Harnder,24.02,Gram
BS-US-2489 A,Paint Thinner,Paint Thinner,9.4,Gram
BS-US-2489 A,Paint Binder(Gloss),Paint Binder,9.4,Gram
BS-US-2489 B,Paint Epoxy Primer,Epoxy Set,234.97,Gram
BS-US-2489 B,Epoxy Thinner,Epoxy Set,49.64,Gram
BS-US-2489 B,Epoxy Hardner,Epoxy Set,46.33,Gram
BS-US-2489 B,Paint Mixing,Paint Mixing,80.92,Gram
BS-US-2489 B,Paint Matt agent(Matt),Paint Matt Agent,25.17,Gram
BS-US-2489 B,Paint Harnder,Paint Harnder,41.36,Gram
BS-US-2489 B,Paint Thinner,Paint Thinner,16.18,Gram
BS-US-2489 B,Paint Binder(Gloss),Paint Binder,16.18,Gram
BS-SI-16217-D,Paint Epoxy Primer,Epoxy Set,284.6,Gram
BS-SI-16217-D,Epoxy Thinner,Epoxy Set,60.13,Gram
BS-SI-16217-D,Epoxy Hardner,Epoxy Set,56.12,Gram
BS-SI-16217-D,Paint Mixing,Paint Mixing,91.48,Gram
BS-SI-16217-D,Paint Matt agent(Matt),Paint Matt Agent,45.74,Gram
BS-SI-16217-D,Paint Harnder,Paint Harnder,45.74,Gram
BS-SI-16217-D,Paint Thinner,Paint Thinner,37.03,Gram
BS-SI-16217-D,Paint Binder(Gloss),Paint Binder,0,Gram
BS-SI-16217-B (Bulk),Paint Epoxy Primer,Epoxy Set,1285.61,Gram
BS-SI-16217-B (Bulk),Epoxy Thinner,Epoxy Set,271.61,Gram
BS-SI-16217-B (Bulk),Epoxy Hardner,Epoxy Set,253.5,Gram
BS-SI-16217-B (Bulk),Paint Mixing,Paint Mixing,413.21,Gram
BS-SI-16217-B (Bulk),Paint Matt agent(Matt),Paint Matt Agent,206.61,Gram
BS-SI-16217-B (Bulk),Paint Harnder,Paint Harnder,206.61,Gram
BS-SI-16217-B (Bulk),Paint Thinner,Paint Thinner,167.25,Gram
BS-SI-16217-B (Bulk),Paint Binder(Gloss),Paint Binder,0,Gram
BS-SI-16217-A,Paint Epoxy Primer,Epoxy Set,528.96,Gram
BS-SI-16217-A,Epoxy Thinner,Epoxy Set,111.75,Gram
BS-SI-16217-A,Epoxy Hardner,Epoxy Set,104.3,Gram
BS-SI-16217-A,Paint Mixing,Paint Mixing,170.02,Gram
BS-SI-16217-A,Paint Matt agent(Matt),Paint Matt Agent,85.01,Gram
BS-SI-16217-A,Paint Harnder,Paint Harnder,85.01,Gram
BS-SI-16217-A,Paint Thinner,Paint Thinner,68.82,Gram
BS-SI-16217-A,Paint Binder(Gloss),Paint Binder,0,Gram
BS-S.C-16224,Paint Epoxy Primer,Epoxy Set,786.64,Gram
BS-S.C-16224,Epoxy Thinner,Epoxy Set,166.19,Gram
BS-S.C-16224,Epoxy Hardner,Epoxy Set,155.11,Gram
BS-S.C-16224,Paint Mixing,Paint Mixing,252.84,Gram
BS-S.C-16224,Paint Matt agent(Matt),Paint Matt Agent,126.42,Gram
BS-S.C-16224,Paint Harnder,Paint Harnder,126.42,Gram
BS-S.C-16224,Paint Thinner,Paint Thinner,102.34,Gram
BS-S.C-16224,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-2488,Paint Epoxy Primer,Epoxy Set,200.95,Gram
BS-US-2488,Epoxy Thinner,Epoxy Set,42.45,Gram
BS-US-2488,Epoxy Hardner,Epoxy Set,39.62,Gram
BS-US-2488,Paint Mixing,Paint Mixing,69.2,Gram
BS-US-2488,Paint Matt agent(Matt),Paint Matt Agent,21.53,Gram
BS-US-2488,Paint Harnder,Paint Harnder,35.37,Gram
BS-US-2488,Paint Thinner,Paint Thinner,13.84,Gram
BS-US-2488,Paint Binder(Gloss),Paint Binder,13.84,Gram
BS-ET-16219,Paint Epoxy Primer,Epoxy Set,95.73,Gram
BS-ET-16219,Epoxy Thinner,Epoxy Set,20.22,Gram
BS-ET-16219,Epoxy Hardner,Epoxy Set,18.88,Gram
BS-ET-16219,Paint Mixing,Paint Mixing,30.77,Gram
BS-ET-16219,Paint Matt agent(Matt),Paint Matt Agent,15.38,Gram
BS-ET-16219,Paint Harnder,Paint Harnder,15.38,Gram
BS-ET-16219,Paint Thinner,Paint Thinner,12.45,Gram
BS-ET-16219,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16154,Paint Epoxy Primer,Epoxy Set,58.79,Gram
BS-ET-16154,Epoxy Thinner,Epoxy Set,11.58,Gram
BS-ET-16154,Epoxy Hardner,Epoxy Set,17.82,Gram
BS-ET-16154,Paint Mixing,Paint Mixing,20.62,Gram
BS-ET-16154,Paint Matt agent(Matt),Paint Matt Agent,11.33,Gram
BS-ET-16154,Paint Harnder,Paint Harnder,10.16,Gram
BS-ET-16154,Paint Thinner,Paint Thinner,5.81,Gram
BS-ET-16154,Paint Binder(Gloss),Paint Binder,0,Gram
BS-QS-14719,Paint Epoxy Primer,Epoxy Set,248.77,Gram
BS-QS-14719,Epoxy Thinner,Epoxy Set,52.56,Gram
BS-QS-14719,Epoxy Hardner,Epoxy Set,49.05,Gram
BS-QS-14719,Paint Mixing,Paint Mixing,79.96,Gram
BS-QS-14719,Paint Matt agent(Matt),Paint Matt Agent,39.98,Gram
BS-QS-14719,Paint Harnder,Paint Harnder,39.98,Gram
BS-QS-14719,Paint Thinner,Paint Thinner,32.36,Gram
BS-QS-14719,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-500068,Paint Epoxy Primer,Epoxy Set,1109.96,Gram
BS-US-500068,Epoxy Thinner,Epoxy Set,234.5,Gram
BS-US-500068,Epoxy Hardner,Epoxy Set,218.86,Gram
BS-US-500068,Paint Mixing,Paint Mixing,382.24,Gram
BS-US-500068,Paint Matt agent(Matt),Paint Matt Agent,118.92,Gram
BS-US-500068,Paint Harnder,Paint Harnder,195.37,Gram
BS-US-500068,Paint Thinner,Paint Thinner,76.45,Gram
BS-US-500068,Paint Binder(Gloss),Paint Binder,76.45,Gram
BS-ET-16241,Paint Epoxy Primer,Epoxy Set,94.87,Gram
BS-ET-16241,Epoxy Thinner,Epoxy Set,20.04,Gram
BS-ET-16241,Epoxy Hardner,Epoxy Set,18.71,Gram
BS-ET-16241,Paint Mixing,Paint Mixing,30.49,Gram
BS-ET-16241,Paint Matt agent(Matt),Paint Matt Agent,15.25,Gram
BS-ET-16241,Paint Harnder,Paint Harnder,15.25,Gram
BS-ET-16241,Paint Thinner,Paint Thinner,12.34,Gram
BS-ET-16241,Paint Binder(Gloss),Paint Binder,0,Gram
