batch_ref,item_code,grams,pct
CLR-260827-5,2272,500,49.02
CLR-260827-5,2241,100,9.80
CLR-260827-5,2242,30,2.94
CLR-260827-5,2243,120,11.76
CLR-260827-5,2274,200,19.61
CLR-260827-5,2754,70,6.86
CLR-260827-6,2241,300,60.00
CLR-260827-6,2242,50,10.00
CLR-260827-6,2243,70,14.00
CLR-260827-6,2754,40,8.00
CLR-260827-6,2214,40.01,8.00
CLR-260827-7,2214,80,61.54
CLR-260827-7,2350,40,30.77
CLR-260827-7,2257,5,3.85
CLR-260827-7,2429,5,3.85
CLR-260827-8,2350,80,74.07
CLR-260827-8,2764,10,9.26
CLR-260827-8,2253,2,1.85
CLR-260827-8,2272,2,1.85
CLR-260827-8,2271,4,3.70
CLR-260827-8,2241,10,9.26
CLR-260828-9,2245 / 2673,50,50.00
CLR-260828-9,2239,10,10.00
CLR-260828-9,2353,30,30.00
CLR-260828-9,2754,10,10.00
CLR-260828-10,2350,100,83.33
CLR-260828-10,2353,6,5.00
CLR-260828-10,2257,8,6.67
CLR-260828-10,2272,6,5.00
CLR-260829-11,2764,50,25.00
CLR-260829-11,2272,100,50.00
CLR-260829-11,2350,30,15.00
CLR-260829-11,2754,10,5.00
CLR-260829-11,2241,10,5.00
CLR-260829-12,2272,100,66.67
CLR-260829-12,2764,30,20.00
CLR-260829-12,2754,10,6.67
CLR-260829-12,2350,10,6.67
CLR-260829-13,2350,80,53.33
CLR-260829-13,2245 / 2673,10,6.67
CLR-260829-13,2754,10,6.67
CLR-260829-13,2350,50,33.33
CLR-260829-14,2350,100,66.67
CLR-260829-14,2764,20,13.33
CLR-260829-14,2241,10,6.67
CLR-260829-14,2245 / 2673,10,6.67
CLR-260829-14,2272,10,6.67
CLR-260831-15,2245 / 2673,25,24.51
CLR-260831-15,2272,11,10.78
CLR-260831-15,2350,30,29.41
CLR-260831-15,2754,34,33.33
CLR-260831-15,2764,2,1.96
CLR-260831-16,2350,150,75.00
CLR-260831-16,2245 / 2673,30,15.00
CLR-260831-16,2699,20,10.00
CLR-260831-17,2764,70,63.64
CLR-260831-17,2350,20,18.18
CLR-260831-17,2272,10,9.09
CLR-260831-17,2754,10,9.09
CLR-260901-18,2350,80,93.02
CLR-260901-18,2272,2,2.33
CLR-260901-18,2271,2,2.33
CLR-260901-18,2764,2,2.33
CLR-260901-19,2350,17,19.77
CLR-260901-19,2764,11,12.79
CLR-260901-19,2271,41,47.67
CLR-260901-19,2257,2,2.33
CLR-260901-19,2253,15,17.44
CLR-260901-20,2350,17,19.77
CLR-260901-20,2764,11,12.79
CLR-260901-20,2271,41,47.67
CLR-260901-20,2257,2,2.33
CLR-260901-20,2253,15,17.44
CLR-260901-21,2350,74,58.73
CLR-260901-21,2764,37,29.37
CLR-260901-21,2242,2,1.59
CLR-260901-21,2699,8,6.35
CLR-260901-21,2245 / 2673,5,3.97
CLR-260901-22,2350,32,19.39
CLR-260901-22,2271,116,70.30
CLR-260901-22,2764,7,4.24
CLR-260901-22,2253,10,6.06
CLR-260901-23,2353,6,4.62
CLR-260901-23,2350,35,26.92
CLR-260901-23,2253,4,3.08
CLR-260901-23,2271,83,63.85
CLR-260901-23,2242,2,1.54
CLR-260902-24,2350,98.86,74.07
CLR-260902-24,2764,12.36,9.26
CLR-260902-24,2253,2.47,1.85
CLR-260902-24,2272,2.47,1.85
CLR-260902-24,2271,4.94,3.70
CLR-260902-24,2241,12.36,9.26
CLR-260902-25,2245 / 2673,7,2.04
CLR-260902-25,2699,36,10.50
CLR-260902-25,2764,89,25.95
CLR-260902-25,2253,20,5.83
CLR-260902-25,2257,45,13.12
CLR-260902-25,2271,31,9.04
CLR-260902-25,2241,64,18.66
CLR-260902-25,2764,16,4.66
CLR-260902-25,2350,35,10.20
CLR-260902-26,2350,31,19.62
CLR-260902-26,2353,46,29.11
CLR-260902-26,2245 / 2673,2,1.27
CLR-260902-26,2271,78,49.37
CLR-260902-26,2764,1,0.63
CLR-260902-27,2350,22,12.09
CLR-260902-27,2271,25,13.74
CLR-260902-27,2257,11,6.04
CLR-260902-27,2245 / 2673,58,31.87
CLR-260902-27,2764,66,36.26
CLR-260903-28,2754,10,3.45
CLR-260903-28,2764,30,10.34
CLR-260903-28,2272,150,51.72
CLR-260903-28,2350,100,34.48
CLR-260903-29,2350,122,91.04
CLR-260903-29,2764,2,1.49
CLR-260903-29,2241,1,0.75
CLR-260903-29,2243,1,0.75
CLR-260903-29,2271,8,5.97
CLR-260903-30,2699,8,4.60
CLR-260903-30,2754,6,3.45
CLR-260903-30,2253,28,16.09
CLR-260903-30,2257,40,22.99
CLR-260903-30,2271,12,6.90
CLR-260903-30,2243,2,1.15
CLR-260903-30,2764,30,17.24
CLR-260903-30,2350,48,27.59
CLR-260903-31,2764,15,9.80
CLR-260903-31,2350,77,50.33
CLR-260903-31,2243,11,7.19
CLR-260903-31,2271,24,15.69
CLR-260903-31,2257,15,9.80
CLR-260903-31,2253,2,1.31
CLR-260903-31,2754,6,3.92
CLR-260903-31,2699,3,1.96
CLR-260903-32,2350,25,26.04
CLR-260903-32,2271,18,18.75
CLR-260903-32,2241,1,1.04
CLR-260903-32,2257,1,1.04
CLR-260903-32,2353,51,53.12
CLR-260903-33,2353,20,13.61
CLR-260903-33,2764,59,40.14
CLR-260903-33,2271,28,19.05
CLR-260903-33,2241,13,8.84
CLR-260903-33,2245 / 2673,27,18.37
CLR-260903-34,2350,86,18.90
CLR-260903-34,2764,74,16.26
CLR-260903-34,2699,171,37.58
CLR-260903-34,2754,82,18.02
CLR-260903-34,2243,42,9.23
CLR-260903-35,2350,86,18.90
CLR-260903-35,2764,74,16.26
CLR-260903-35,2699,171,37.58
CLR-260903-35,2754,82,18.02
CLR-260903-35,2243,42,9.23
CLR-260903-36,2239,1,100.00
CLR-260903-37,2269,1,100.00
CLR-260903-38,2241,1,100.00
CLR-260903-39,2242,1,100.00
CLR-260903-40,2243,1,100.00
CLR-260903-41,2290,1,100.00
CLR-260903-42,2271,1,100.00
CLR-260903-43,2245 / 2673,1,100.00
CLR-260903-44,2214,1,100.00
CLR-260903-45,2272,1,100.00
CLR-260903-46,2253,1,100.00
CLR-260903-47,2350,1,100.00
CLR-260903-48,2257,1,100.00
CLR-260903-49,2351,1,100.00
CLR-260903-50,2351,1,100.00
CLR-260903-51,2428,1,100.00
CLR-260903-52,2429,1,100.00
CLR-260903-53,2353,1,100.00
CLR-260903-54,2758,1,100.00
CLR-260903-55,2754,1,100.00
CLR-260903-56,2755,1,100.00
CLR-260903-57,2756,1,100.00
CLR-260903-58,2697,1,100.00
CLR-260903-59,2764,1,100.00
CLR-260903-60,2438,1,100.00
CLR-260903-61,2244,1,100.00
CLR-260905-58,2241,21,16.67
CLR-260905-58,2242,3,2.38
CLR-260905-58,2350,77,61.11
CLR-260905-58,2764,13,10.32
CLR-260905-58,2353,11,8.73
CLR-260905-58,2253,1,0.79
CLR-260905-59,2438,2,1.57
CLR-260905-59,2245 / 2673,14,11.02
