ref,mixed_at,order_code,colour_ref,hex,lab_l,lab_a,lab_b,batch_grams,matcher,notes,brand_mix
CLR-260827-5,2026-08-27 01:14:58,BS-US-2479,PANTONE 7463 C,#003050,17.99,-6.78,-25.01,1020,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260827-6,2026-08-27 03:35:37,BS-US-2479,PANTONE 7580C,#C05131,49.96,45.4,42.36,500.01,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260827-7,2026-08-27 04:27:17,BS-ET-16239,PANTONE 7527 C,#DAD7CC,85.99,-0.13,5.89,130,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260827-8,2026-08-27 04:34:57,BS-ET-16239,PANTONE 7533 C,#4B3C31,26.74,5.02,9.69,108,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260828-9,2026-08-28 00:27:43,BS-ET-16452,PANTONE 202 C,#872333,31.3,43.18,16.37,100,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260828-10,2026-08-28 03:41:28,BS-ET-16450,WARM GRAY 2C,#D6D1CB,84.24,0.73,3.92,120,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260829-11,2026-08-28 23:12:35,BS-US-2537 C,PANTONE 296 C,#021E2F,9.92,-4.88,-14.95,200,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260829-12,2026-08-28 23:18:19,BS-ET-16409,PANTONE 4147C,#262141,11.14,8.45,-17.84,150,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260829-13,2026-08-28 23:24:51,BS-ET-16418,PANTONE 496 C,#F1C5CC,83.59,16.77,2.48,150,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260829-14,2026-08-28 23:33:03,BS-US-2537 B,PANTONE 2330C,#CFCDC9,82.56,0.5,1.85,150,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260831-15,2026-08-30 23:53:12,BS-ET-16473,PANTONE 2357C,#621244,21.75,39.6,-10.17,102,malikhashir85858@gmail.com,,Mixed (Nexa+Nippon)
CLR-260831-16,2026-08-31 00:26:13,BS-SM-16276,PANTONE 1905 C,#F69FBC,75.03,36.15,-0.61,200,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260831-17,2026-08-31 01:16:35,BS-ET-16454,SW 6990,#313031,20,0.68,-0.48,110,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
CLR-260901-18,2026-08-31 22:28:38,BS-SM-16430,PANTONE 427 C,#D1D4D4,84.65,-0.89,-0.16,86,malikhashir85858@gmail.com,,Mixed (Nippon+Nexa)
