code,total_area,surface_area,bom_total_cost,bom_source
BS-SI-16103,3.89,4.55,3749.00,"Paint Epoxy Primer 418.38 Gram, Epoxy Thinner 88.39 Gram, Epoxy Hardner 82.5 Gram, Paint Mixing 134.47 Gram, Paint Matt agent(Matt) 67.24 Gram, Paint Harnder 67.24 Gram, Paint Thinner 54.43 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,749.00"
BS-ET-16188,7.13,5.8,8423.00,"Paint Epoxy Primer 940.06 Gram, Epoxy Thinner 198.6 Gram, Epoxy Hardner 185.36 Gram, Paint Mixing 302.15 Gram, Paint Matt agent(Matt) 151.07 Gram, Paint Harnder 151.07 Gram, Paint Thinner 122.3 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 8,423.00"
BS-US-2501 B,92.66,10.05,23197.94,"Paint Epoxy Primer 2444.91 Gram, Epoxy Thinner 516.53 Gram, Epoxy Hardner 482.1 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 841.96 Gram, Paint Matt agent(Matt) 261.94 Gram, Paint Binder(Gloss) 168.39 Gram, Paint Harnder 430.34 Gram, Paint Thinner 168.39 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 23,197.94"
BS-US-2501 A,62.13,10.05,18489.98,"Paint Epoxy Primer 1948.72 Gram, Epoxy Thinner 411.7 Gram, Epoxy Hardner 384.26 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 671.09 Gram, Paint Matt agent(Matt) 208.78 Gram, Paint Binder(Gloss) 134.22 Gram, Paint Harnder 343 Gram, Paint Thinner 134.22 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 18,489.98"
BS-ET-15735,22.68,26.36,21730.00,"Epoxy Primer 2425.36 Gram, Epoxy Thinner 512.40 Gram, Epoxy Hardner 478.24 Gram, Paint Mixing 779.55 Gram, Paint Matt agent(Matt) 389.77 Gram, Paint Harnder 389.77 Gram, Paint Thinner 315.53 Gram, Paint Mixing, Paint Binder(Gloss), Paint Harnder, Paint Thinner, Paint Miscellaneous cost 1.00 | Total: 21,730.00"
BS-S.inc-16226,14.58,4.82,6307.00,"Paint Epoxy Primer 703.82 Gram, Epoxy Thinner 148.69 Gram, Epoxy Hardner 138.78 Gram, Paint Mixing 226.22 Gram, Paint Matt agent(Matt) 113.11 Gram, Paint Harnder 113.11 Gram, Paint Thinner 91.56 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 6,307.00"
BS-US-2505 A,12.25,,28221.00,"Epoxy Primer 3149.76 Gram, Epoxy Thinner 665.44 Gram, Epoxy Hardner 621.08 Gram, Paint Mixing 1012.38 Gram, Paint Matt agent(Matt) 506.19 Gram, Paint Harnder 506.19 Gram, Paint Thinner 409.77 Gram, Paint Mixing, Paint Binder(Gloss), Paint Harnder, Paint Thinner, Paint Miscellaneous cost 1.00 | Total: 28,221.00"
BS-US-2493,20.59,2.84,1435.00,"Paint Epoxy Primer 151.41 Gram, Epoxy Thinner 31.99 Gram, Epoxy Hardner 29.85 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 52.14 Gram, Paint Matt agent(Matt) 16.22 Gram, Paint Binder(Gloss) 10.43 Gram, Paint Harnder 26.65 Gram, Paint Thinner 10.43 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,435.00"
BS-ET-16171,18,15.81,8144.00,"Paint Epoxy Primer 909.01 Gram, Epoxy Thinner 192.04 Gram, Epoxy Hardner 179.24 Gram, Paint Mixing 292.17 Gram, Paint Matt agent(Matt) 146.08 Gram, Paint Harnder 146.08 Gram, Paint Thinner 118.26 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 8,144.00"
BS-GL-0017,9.17,12.39,11942.00,"Paint Epoxy Primer 1332.94 Gram, Epoxy Thinner 281.61 Gram, Epoxy Hardner 262.83 Gram, Paint Mixing 428.43 Gram, Paint Matt agent(Matt) 214.21 Gram, Paint Harnder 214.21 Gram, Paint Thinner 173.41 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 11,942.00"
