txn_ref,occurred_at,type,issue_type,order_code,item_code,issue_pool,qty,uom,rate,entered_by,authorized_by,remarks,colour_ref,batch_ref,external_ref
OPEN-937,2026-08-23 00:00:00,opening,,,937,,4,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-435,2026-08-23 00:00:00,opening,,,435,,3,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-239,2026-08-23 00:00:00,opening,,,239,,8,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-244,2026-08-23 00:00:00,opening,,,244,,2330,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-1145,2026-08-23 00:00:00,opening,,,1145,,740,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-1073,2026-08-23 00:00:00,opening,,,1073,,480,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-372,2026-08-23 00:00:00,opening,,,372,,2380,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2158,2026-08-23 00:00:00,opening,,,2158,,5130,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-1003,2026-08-23 00:00:00,opening,,,1003,,577,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2763,2026-08-23 00:00:00,opening,,,2763,,1420,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2247,2026-08-23 00:00:00,opening,,,2247,,2525,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-804,2026-08-23 00:00:00,opening,,,804,,2725,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2355,2026-08-23 00:00:00,opening,,,2355,,5950,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-727,2026-08-23 00:00:00,opening,,,727,,2125,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2352,2026-08-23 00:00:00,opening,,,2352,,1013,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2354,2026-08-23 00:00:00,opening,,,2354,,2175,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2195,2026-08-23 00:00:00,opening,,,2195,,1700,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-124,2026-08-23 00:00:00,opening,,,124,,2692,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-121,2026-08-23 00:00:00,opening,,,121,,638,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-520,2026-08-23 00:00:00,opening,,,520,,3340,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-502,2026-08-23 00:00:00,opening,,,502,,916,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2525,2026-08-23 00:00:00,opening,,,2525,,2100,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2764,2026-08-23 00:00:00,opening,,,2764,,770,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2754,2026-08-23 00:00:00,opening,,,2754,,1289,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2699,2026-08-23 00:00:00,opening,,,2699,,1880,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2353,2026-08-23 00:00:00,opening,,,2353,,1938,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2350,2026-08-23 00:00:00,opening,,,2350,,7320,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2257,2026-08-23 00:00:00,opening,,,2257,,1090,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2253,2026-08-23 00:00:00,opening,,,2253,,1196,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2272,2026-08-23 00:00:00,opening,,,2272,,820,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2214,2026-08-23 00:00:00,opening,,,2214,,2280,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2245 / 2673,2026-08-23 00:00:00,opening,,,2245 / 2673,,1120,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2271,2026-08-23 00:00:00,opening,,,2271,,1380,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2290,2026-08-23 00:00:00,opening,,,2290,,1342,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2243,2026-08-23 00:00:00,opening,,,2243,,1320,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2242,2026-08-23 00:00:00,opening,,,2242,,1204,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2241,2026-08-23 00:00:00,opening,,,2241,,1060,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2269,2026-08-23 00:00:00,opening,,,2269,,1226,Gram,,system,,Opening stock from legacy Item_Master,,,
OPEN-2239,2026-08-23 00:00:00,opening,,,2239,,1737,Gram,,system,,Opening stock from legacy Item_Master,,,
TXN-260824-1,2026-08-24 03:30:14,issue,bom,BS-QS-16421-B,2764,Paint Mixing,-230,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-2,2026-08-24 03:30:14,issue,bom,BS-QS-16421-B,2354,Paint Matt Agent,-115,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-3,2026-08-24 03:30:14,issue,bom,BS-QS-16421-B,2352,Paint Harnder,-115,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-4,2026-08-24 03:30:14,issue,bom,BS-QS-16421-B,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-5,2026-08-24 03:50:48,issue,bom,BS-SI-16326,2525,Paint Mixing,-100,Gram,1.97,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-6,2026-08-24 03:50:48,issue,bom,BS-SI-16326,2764,Paint Mixing,-200,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-7,2026-08-24 03:50:48,issue,bom,BS-SI-16326,2354,Paint Matt Agent,-100,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-8,2026-08-24 03:50:48,issue,bom,BS-SI-16326,2352,Paint Harnder,-150,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260824-9,2026-08-24 03:50:48,issue,bom,BS-SI-16326,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260825-10,2026-08-24 22:42:50,receipt,,,2764,Paint Mixing,1800,Gram,6.04,comrade@yorkyankee.com,,,,,Jetblack Issuence 24.08.2026
TXN-260825-11,2026-08-25 00:01:37,receipt,,,246,Miscellaneous,2100.01,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-12,2026-08-25 00:01:37,receipt,,,56,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-13,2026-08-25 00:01:37,receipt,,,1053,Miscellaneous,7,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-14,2026-08-25 00:01:37,receipt,,,937,Miscellaneous,20,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-15,2026-08-25 00:01:37,receipt,,,435,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-16,2026-08-25 00:01:37,receipt,,,1490,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-17,2026-08-25 00:01:37,receipt,,,169,Miscellaneous,5,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-18,2026-08-25 00:01:37,receipt,,,428,Miscellaneous,18,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-19,2026-08-25 00:01:37,receipt,,,2352,Paint Harnder,1800,Gram,5.81,malikhashir85858@gmail.com,,,,,2902
TXN-260825-20,2026-08-25 00:01:37,receipt,,,804,Paint Thinner,3500,Gram,0.56,malikhashir85858@gmail.com,,,,,2902
TXN-260825-21,2026-08-25 00:01:37,receipt,,,1073,Epoxy Set,1500,Gram,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-22,2026-08-25 00:01:37,receipt,,,388,Miscellaneous,5,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-23,2026-08-25 00:01:37,receipt,,,53,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-24,2026-08-25 00:01:37,receipt,,,292,Miscellaneous,20,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-25,2026-08-25 00:01:37,receipt,,,8,Miscellaneous,1,Nos,,malikhashir85858@gmail.com,,,,,2902
TXN-260825-26,2026-08-25 02:52:37,receipt,,,514,Miscellaneous,5,Nos,,malikhashir85858@gmail.com,,,,,2905
TXN-260825-27,2026-08-25 02:52:37,receipt,,,56,Miscellaneous,2,Nos,,malikhashir85858@gmail.com,,,,,2905
TXN-260825-28,2026-08-25 02:52:37,receipt,,,937,Miscellaneous,15,Nos,,malikhashir85858@gmail.com,,,,,2905
